Fit,Min Size,Max Size,Hole Low,Hole High,Shaft Low,Shaft High,Hole Zone,Shaft Zone
LT1,0.00000,0.12000,0.00000,0.00040,-0.00010,0.00010,H7,js6
LT1,0.12000,0.24000,0.00000,0.00050,-0.00015,0.00015,H7,js6
LT1,0.24000,0.40000,0.00000,0.00060,-0.00020,0.00020,H7,js6
LT1,0.40000,0.71000,0.00000,0.00070,-0.00020,0.00020,H7,js6
LT1,0.71000,1.19000,0.00000,0.00080,-0.00025,0.00025,H7,js6
LT1,1.19000,1.97000,0.00000,0.00100,-0.00030,0.00030,H7,js6
LT1,1.97000,3.15000,0.00000,0.00120,-0.00030,0.00030,H7,js6
LT1,3.15000,4.73000,0.00000,0.00140,-0.00040,0.00040,H7,js6
LT1,4.73000,7.09000,0.00000,0.00160,-0.00050,0.00050,H7,js6
LT1,7.09000,9.85000,0.00000,0.00180,-0.00060,0.00060,H7,js6
LT1,9.85000,12.41000,0.00000,0.00200,-0.00060,0.00060,H7,js6
LT1,12.41000,15.75000,0.00000,0.00220,-0.00070,0.00070,H7,js6
LT1,15.75000,19.69000,0.00000,0.00250,-0.00080,0.00080,H7,js6
LT2,0.00000,0.12000,0.00000,0.00060,-0.00020,0.00020,H8,js7
LT2,0.12000,0.24000,0.00000,0.00070,-0.00025,0.00025,H8,js7
LT2,0.24000,0.40000,0.00000,0.00090,-0.00030,0.00030,H8,js7
LT2,0.40000,0.71000,0.00000,0.00100,-0.00035,0.00035,H8,js7
LT2,0.71000,1.19000,0.00000,0.00120,-0.00040,0.00040,H8,js7
LT2,1.19000,1.97000,0.00000,0.00160,-0.00050,0.00050,H8,js7
LT2,1.97000,3.15000,0.00000,0.00180,-0.00060,0.00060,H8,js7
LT2,3.15000,4.73000,0.00000,0.00220,-0.00070,0.00070,H8,js7
LT2,4.73000,7.09000,0.00000,0.00250,-0.00080,0.00080,H8,js7
LT2,7.09000,9.85000,0.00000,0.00280,-0.00090,0.00090,H8,js7
LT2,9.85000,12.41000,0.00000,0.00300,-0.00100,0.00100,H8,js7
LT2,12.41000,15.75000,0.00000,0.00350,-0.00100,0.00100,H8,js7
LT2,15.75000,19.69000,0.00000,0.00400,-0.00120,0.00120,H8,js7
LT3,0.24000,0.40000,0.00000,0.00060,0.00010,0.00050,H7,k6
LT3,0.40000,0.71000,0.00000,0.00070,0.00010,0.00050,H7,k6
LT3,0.71000,1.19000,0.00000,0.00080,0.00010,0.00060,H7,k6
LT3,1.19000,1.97000,0.00000,0.00100,0.00010,0.00070,H7,k6
